,Date,Holiday
229,1998-12-25,Christmas Day
230,1997-01-01,New Year’s Day
231,1997-01-20,"Martin Luther King, Jr. Day"
232,1997-02-17,Washington’s Birthday
233,1997-05-26,Memorial Day
234,1997-07-04,Independence Day
235,1997-09-01,Labor Day
236,1997-10-13,Columbus Day
237,1997-11-11,Veterans Day
238,1997-11-27,Thanksgiving Day
239,1997-12-25,Christmas Day
240,1996-01-01,New Year’s Day
241,1996-01-15,"Martin Luther King, Jr. Day"
242,1996-02-19,Washington’s Birthday
243,1996-05-27,Memorial Day
244,1996-07-04,Independence Day
245,1996-09-02,Labor Day
246,1996-10-14,Columbus Day
247,1996-11-11,Veterans Day
248,1996-11-28,Thanksgiving Day
249,1996-12-25,Christmas Day
250,1995-01-01,New Year’s Day
251,1995-01-16,"Martin Luther King, Jr. Day"
252,1995-02-20,Washington’s Birthday
253,1995-05-29,Memorial Day
254,1995-07-04,Independence Day
255,1995-09-04,Labor Day
256,1995-10-09,Columbus Day
257,1995-11-11,Veterans Day
258,1995-11-23,Thanksgiving Day
259,1995-12-25,Christmas Day
260,1994-01-01,New Year’s Day
261,1994-01-17,"Martin Luther King, Jr. Day"
262,1994-02-21,Washington’s Birthday
263,1994-05-30,Memorial Day
264,1994-07-04,Independence Day
265,1994-09-05,Labor Day
266,1994-10-10,Columbus Day
267,1994-11-11,Veterans Day
268,1994-11-24,Thanksgiving Day
269,1994-12-25,Christmas Day
270,1993-01-01,New Year’s Day
271,1993-01-18,"Martin Luther King, Jr. Day"
272,1993-02-15,Washington’s Birthday
273,1993-05-31,Memorial Day
274,1993-07-04,Independence Day
275,1993-09-06,Labor Day
276,1993-10-11,Columbus Day
277,1993-11-11,Veterans Day
278,1993-11-25,Thanksgiving Day
279,1993-12-25,Christmas Day
280,1992-01-01,New Year’s Day
281,1992-01-20,"Martin Luther King, Jr. Day"
282,1992-02-17,Washington’s Birthday
283,1992-05-25,Memorial Day
284,1992-07-04,Independence Day
285,1992-09-07,Labor Day
286,1992-10-12,Columbus Day
287,1992-11-11,Veterans Day
288,1992-11-26,Thanksgiving Day
289,1992-12-25,Christmas Day
290,1991-01-01,New Year’s Day
291,1991-01-21,"Martin Luther King, Jr. Day"
292,1991-02-18,Washington’s Birthday
293,1991-05-27,Memorial Day
294,1991-07-04,Independence Day
295,1991-09-02,Labor Day
296,1991-10-14,Columbus Day
297,1991-11-11,Veterans Day
298,1991-11-28,Thanksgiving Day
299,1991-12-25,Christmas Day
300,1990-01-01,New Year’s Day
301,1990-01-15,"Martin Luther King, Jr. Day"
302,1990-02-19,Washington’s Birthday
303,1990-05-28,Memorial Day
304,1990-07-04,Independence Day
305,1990-09-03,Labor Day
306,1990-10-08,Columbus Day
307,1990-11-11,Veterans Day
308,1990-11-22,Thanksgiving Day
309,1990-12-25,Christmas Day
310,1989-01-01,New Year’s Day
311,1989-01-16,"Martin Luther King, Jr. Day"
312,1989-02-20,Washington’s Birthday
313,1989-05-29,Memorial Day
314,1989-07-04,Independence Day
315,1989-09-04,Labor Day
316,1989-10-09,Columbus Day
317,1989-11-11,Veterans Day
318,1989-11-23,Thanksgiving Day
319,1989-12-25,Christmas Day
320,1988-01-01,New Year’s Day
321,1988-01-18,"Martin Luther King, Jr. Day"
322,1988-02-15,Washington’s Birthday
323,1988-05-30,Memorial Day
324,1988-07-04,Independence Day
325,1988-09-05,Labor Day
326,1988-10-10,Columbus Day
327,1989-11-11,Veterans Day
328,1988-11-24,Thanksgiving Day
329,1988-12-25,Christmas Day
330,1987-01-01,New Year’s Day
331,1987-01-19,"Martin Luther King, Jr. Day"
332,1987-02-16,Washington’s Birthday
333,1987-05-25,Memorial Day
334,1987-07-04,Independence Day
335,1987-09-07,Labor Day
336,1987-10-12,Columbus Day
337,1987-11-11,Veterans Day
338,1987-11-26,Thanksgiving Day
339,1987-12-25,Christmas Day
340,1986-01-01,New Year’s Day
341,1986-01-20,"Martin Luther King, Jr. Day"
342,1986-02-17,Washington’s Birthday
343,1986-05-26,Memorial Day
344,1986-07-04,Independence Day
345,1986-09-01,Labor Day
346,1986-10-13,Columbus Day
347,1986-11-11,Veterans Day
348,1986-11-27,Thanksgiving Day
349,1986-12-25,Christmas Day
350,1985-01-01,New Year’s Day
351,1985-01-21,"Martin Luther King, Jr. Day"
352,1985-02-18,Washington’s Birthday
353,1985-05-27,Memorial Day
354,1985-07-04,Independence Day
355,1985-09-02,Labor Day
356,1985-10-14,Columbus Day
357,1985-11-11,Veterans Day
358,1985-11-28,Thanksgiving Day
359,1985-12-25,Christmas Day
360,1984-01-01,New Year’s Day
361,1984-02-20,Washington’s Birthday
362,1984-05-28,Memorial Day
363,1984-07-04,Independence Day
364,1984-09-03,Labor Day
365,1984-10-08,Columbus Day
366,1984-11-11,Veterans Day
367,1984-11-22,Thanksgiving Day
368,1984-12-25,Christmas Day
369,1983-01-01,New Year’s Day
370,1983-02-21,Washington’s Birthday
371,1983-05-30,Memorial Day
372,1983-07-04,Independence Day
373,1983-09-05,Labor Day
374,1983-10-10,Columbus Day
375,1983-11-11,Veterans Day
376,1983-11-24,Thanksgiving Day
377,1983-12-25,Christmas Day
378,1982-01-01,New Year’s Day
379,1982-02-15,Washington’s Birthday
380,1982-05-31,Memorial Day
381,1982-07-04,Independence Day
382,1982-09-06,Labor Day
383,1982-10-11,Columbus Day
384,1982-11-11,Veterans Day
385,1982-11-25,Thanksgiving Day
386,1982-12-25,Christmas Day
387,1981-01-01,New Year’s Day
388,1981-02-16,Washington’s Birthday
389,1981-05-25,Memorial Day
390,1981-07-04,Independence Day
391,1981-09-07,Labor Day
392,1981-10-12,Columbus Day
393,1981-11-11,Veterans Day
394,1981-11-26,Thanksgiving Day
395,1981-12-25,Christmas Day
396,1980-01-01,New Year’s Day
397,1980-02-18,Washington’s Birthday
398,1980-05-26,Memorial Day
399,1980-07-04,Independence Day
400,1980-09-01,Labor Day
401,1980-10-13,Columbus Day
402,1980-11-11,Veterans Day
403,1980-11-27,Thanksgiving Day
404,1980-12-25,Christmas Day
405,1979-01-01,New Year’s Day
406,1979-02-19,Washington’s Birthday
407,1979-05-28,Memorial Day
408,1979-07-04,Independence Day
409,1979-09-03,Labor Day
410,1979-10-08,Columbus Day
411,1979-11-11,Veterans Day
412,1979-11-22,Thanksgiving Day
413,1979-12-25,Christmas Day
414,1978-01-01,New Year’s Day
415,1978-02-20,Washington’s Birthday
416,1978-05-29,Memorial Day
417,1978-07-04,Independence Day
418,1978-09-04,Labor Day
419,1978-10-09,Columbus Day
420,1978-11-11,Veterans Day
421,1978-11-23,Thanksgiving Day
422,1978-12-25,Christmas Day
423,1977-01-01,New Year’s Day
424,1977-02-21,Washington’s Birthday
425,1977-05-30,Memorial Day
426,1977-07-04,Independence Day
427,1977-09-05,Labor Day
428,1977-10-10,Columbus Day
429,1977-11-11,Veterans Day
430,1977-11-24,Thanksgiving Day
431,1977-12-25,Christmas Day
432,1976-01-01,New Year’s Day
433,1976-02-16,Washington’s Birthday
434,1976-05-31,Memorial Day
435,1976-07-04,Independence Day
436,1976-09-06,Labor Day
437,1976-10-11,Columbus Day
438,1976-11-11,Veterans Day
439,1976-11-25,Thanksgiving Day
440,1976-12-25,Christmas Day
441,1975-01-01,New Year’s Day
442,1975-02-17,Washington’s Birthday
443,1975-05-26,Memorial Day
444,1975-07-04,Independence Day
445,1975-09-01,Labor Day
446,1975-10-13,Columbus Day
447,1975-11-11,Veterans Day
448,1975-11-27,Thanksgiving Day
449,1975-12-25,Christmas Day
450,1974-01-01,New Year’s Day
451,1974-02-18,Washington’s Birthday
452,1974-05-27,Memorial Day
453,1974-07-04,Independence Day
454,1974-09-02,Labor Day
455,1974-10-14,Columbus Day
456,1974-11-11,Veterans Day
457,1974-11-28,Thanksgiving Day
458,1974-12-25,Christmas Day
459,1973-01-01,New Year’s Day
460,1973-02-19,Washington’s Birthday
461,1973-05-28,Memorial Day
462,1973-07-04,Independence Day
463,1973-09-03,Labor Day
464,1973-10-08,Columbus Day
465,1973-11-11,Veterans Day
466,1973-11-22,Thanksgiving Day
467,1973-12-25,Christmas Day
468,1972-01-01,New Year’s Day
469,1972-02-21,Washington’s Birthday
470,1972-05-29,Memorial Day
471,1972-07-04,Independence Day
472,1972-09-04,Labor Day
473,1972-10-09,Columbus Day
474,1972-11-11,Veterans Day
475,1972-11-23,Thanksgiving Day
476,1972-12-25,Christmas Day
477,1966-01-01,New Year’s Day
478,1966-02-22,Washington’s Birthday
479,1966-07-04,Independence Day
480,1966-09-05,Labor Day
481,1966-10-12,Columbus Day
482,1966-11-11,Veterans Day
483,1966-11-24,Thanksgiving Day
484,1966-12-25,Christmas Day
